"","Daniorerio","Campylomormyruscompressirostris"
"22635","ddhd1a","maker-ptg000067l-snap-gene-16.9-mRNA-1"
"22636","fermt2","maker-ptg000051l-augustus-gene-58.4-mRNA-1"
"22637","stxbp6","maker-ptg000067l-snap-gene-16.0-mRNA-1"
"22640","aqr","maker-ptg000051l-augustus-gene-97.18-mRNA-1"
"22642","psen1","snap_masked-ptg000234l-processed-gene-19.39-mRNA-1"
"22643","adi1","maker-ptg000881l-augustus-gene-0.121-mRNA-1"
"22644","trappc12","maker-ptg000881l-snap-gene-0.40-mRNA-1"
"22645","eipr1","maker-ptg000132l-snap-gene-0.1-mRNA-1"
"22646","myt1lb","maker-ptg000132l-augustus-gene-1.0-mRNA-1"
"22647","pxdn","maker-ptg000132l-snap-gene-1.42-mRNA-1"
"22651","pdia6","maker-ptg000302l-snap-gene-2.31-mRNA-1"
"22653","nol10","maker-ptg000302l-snap-gene-2.39-mRNA-1"
"22654","odc1","maker-ptg000302l-snap-gene-2.47-mRNA-1"
"22655","si_ch211-168d23.3","maker-ptg000234l-snap-gene-19.62-mRNA-1"
"22656","exd2","maker-ptg000234l-snap-gene-19.103-mRNA-1"
"22657","numb","maker-ptg000234l-snap-gene-20.9-mRNA-1"
"22658","flvcr2a","maker-ptg001300l-snap-gene-4.139-mRNA-1"
"22659","erg28","maker-ptg001300l-augustus-gene-0.2-mRNA-1"
"22660","ttll5","maker-ptg001300l-snap-gene-4.137-mRNA-1"
"22661","tgfb3","maker-ptg000794l-augustus-gene-4.27-mRNA-1"
"22662","ift43","maker-ptg002435l-snap-gene-0.13-mRNA-1"
"22664","esrrb","maker-ptg000329l-snap-gene-0.13-mRNA-1"
"22665","prox2","maker-ptg000957l-snap-gene-1.111-mRNA-1"
"22666","dlst","maker-ptg000957l-augustus-gene-0.49-mRNA-1"
"22667","rps6kl1","maker-ptg000957l-snap-gene-1.107-mRNA-1"
"22668","fam98b","maker-ptg000051l-augustus-gene-65.5-mRNA-1"
"22669","spred1","maker-ptg000067l-snap-gene-11.2-mRNA-1"
"22670","lrrc74a","maker-ptg000957l-snap-gene-1.105-mRNA-1"
"22672","meis2a","maker-ptg000067l-snap-gene-12.0-mRNA-1"
"22673","cdin1","maker-ptg000051l-snap-gene-64.18-mRNA-1"
"22674","angel1","maker-ptg000957l-snap-gene-0.18-mRNA-1"
"22675","dph6","maker-ptg000051l-augustus-gene-65.2-mRNA-1"
"22677","vash1","maker-ptg000957l-snap-gene-1.84-mRNA-1"
"22678","fcf1","snap_masked-ptg000957l-processed-gene-1.3-mRNA-1"
"22681","arel1","maker-ptg000957l-snap-gene-0.12-mRNA-1"
"22682","LOC110439207","maker-ptg003014l-augustus-gene-0.28-mRNA-1"
"22683","atxn3","maker-ptg000088l-snap-gene-1.49-mRNA-1"
"22684","pomt2","maker-ptg003014l-augustus-gene-0.24-mRNA-1"
"22685","lin52","maker-ptg003014l-snap-gene-0.10-mRNA-1"
"22686","serpina10b","maker-ptg000088l-snap-gene-1.48-mRNA-1"
"22687","vsx2","maker-ptg000033l-augustus-gene-0.16-mRNA-1"
"22688","ddx24","snap_masked-ptg000088l-processed-gene-1.23-mRNA-1"
"22691","si_ch1073-416d2.4","maker-ptg000088l-snap-gene-3.184-mRNA-1"
"22693","exd1","maker-ptg001392l-snap-gene-1.9-mRNA-1"
"22699","LOC101884319","maker-ptg000088l-snap-gene-3.134-mRNA-1"
"22701","slc9a1b","maker-ptg000014l-augustus-gene-7.61-mRNA-1"
"22704","gja9b","snap_masked-ptg002250l-processed-gene-0.11-mRNA-1"
"22707","whamm","maker-ptg000610l-snap-gene-4.216-mRNA-1"
"22708","fam107b","maker-ptg000979l-augustus-gene-3.0-mRNA-1"
"22709","aars1","maker-ptg000521l-snap-gene-0.29-mRNA-1"
"22710","sspn","maker-ptg002020l-snap-gene-0.20-mRNA-1"
"22712","LOC110438116","maker-ptg001120l-augustus-gene-3.193-mRNA-1"
"22716","LOC137490578","maker-ptg001966l-snap-gene-35.1-mRNA-1"
"22718","gcsha","maker-ptg000782l-snap-gene-4.28-mRNA-1"
"22719","prpf18","maker-ptg001158l-snap-gene-0.14-mRNA-1"
"22720","yap1","maker-ptg001966l-snap-gene-30.57-mRNA-1"
"22721","gatm","maker-ptg000610l-augustus-gene-4.120-mRNA-1"
"22723","otogl","maker-ptg000364l-augustus-gene-2.8-mRNA-1"
"22724","fam169b","maker-ptg000345l-augustus-gene-15.5-mRNA-1"
"22726","slc6a15","maker-ptg000863l-snap-gene-5.64-mRNA-1"
"22730","mgat4c","maker-ptg000863l-snap-gene-6.10-mRNA-1"
"22734","zgc_162898","maker-ptg002330l-snap-gene-0.30-mRNA-1"
"22735","hdc","maker-ptg000610l-snap-gene-4.251-mRNA-1"
"22736","impdh1a","maker-ptg000501l-snap-gene-5.44-mRNA-1"
"22738","gabpb1","maker-ptg000610l-augustus-gene-4.129-mRNA-1"
"22740","znf423","snap_masked-ptg002230l-processed-gene-0.6-mRNA-1"
"22741","usp8","maker-ptg000610l-augustus-gene-5.60-mRNA-1"
"22745","clasrp","maker-ptg000159l-snap-gene-5.17-mRNA-1"
"22748","tmem263","snap_masked-ptg000006l-processed-gene-5.1-mRNA-1"
"22749","ighmbp2","maker-ptg000465l-augustus-gene-5.242-mRNA-1"
"22750","trpm7","maker-ptg000610l-snap-gene-5.38-mRNA-1"
"22752","LOC100150699","maker-ptg000511l-snap-gene-5.177-mRNA-1"
"22753","veph1","maker-ptg001623l-snap-gene-8.151-mRNA-1"
"22756","agk","maker-ptg000841l-augustus-gene-6.46-mRNA-1"
"22758","tgm2l","maker-ptg000521l-snap-gene-0.25-mRNA-1"
"22760","slc38a8a","maker-ptg001182l-snap-gene-8.141-mRNA-1"
"22761","znf296","maker-ptg000159l-augustus-gene-5.118-mRNA-1"
"22762","ssr3","maker-ptg001623l-snap-gene-8.98-mRNA-1"
"22764","LOC137490564","snap_masked-ptg000016l-processed-gene-14.8-mRNA-1"
"22765","rcn2","maker-ptg000445l-snap-gene-13.38-mRNA-1"
"22766","olfcr1","maker-ptg001623l-augustus-gene-7.49-mRNA-1"
"22769","carmil2","maker-ptg000511l-snap-gene-8.32-mRNA-1"
"22770","alx1","maker-ptg000863l-augustus-gene-6.17-mRNA-1"
"22771","wee2","maker-ptg000841l-snap-gene-6.80-mRNA-1"
"22774","got2a","maker-ptg000667l-augustus-gene-3.12-mRNA-1"
"22776","si_ch211-242e8.1","maker-ptg000754l-snap-gene-3.35-mRNA-1"
"22777","arl2bp","snap_masked-ptg000521l-processed-gene-0.75-mRNA-1"
"22778","si_dkey-30c15.2","maker-ptg000979l-augustus-gene-8.45-mRNA-1"
"22779","ptx3a","maker-ptg001623l-snap-gene-8.85-mRNA-1"
"22780","larp6a","maker-ptg000686l-augustus-gene-4.12-mRNA-1"
"22781","calb2a","maker-ptg000667l-augustus-gene-3.11-mRNA-1"
"22783","olfcw1","maker-ptg001623l-augustus-gene-4.2-mRNA-1"
"22784","pik3c2a","maker-ptg001382l-snap-gene-5.58-mRNA-1"
"22785","LOC137490728","maker-ptg000754l-est_gff_est2genome-gene-3.169-mRNA-1"
"22786","pias1b","maker-ptg001586l-snap-gene-1.71-mRNA-1"
"22787","nr1h4","maker-ptg000084l-snap-gene-60.8-mRNA-1"
"22788","si_ch211-218c6.8","maker-ptg000882l-snap-gene-1.99-mRNA-1"
"22790","pid1","snap_masked-ptg000049l-processed-gene-7.30-mRNA-1"
"22791","tbc1d15","maker-ptg001006l-snap-gene-3.42-mRNA-1"
"22792","tm2d3","maker-ptg000325l-snap-gene-2.116-mRNA-1"
"22794","si_ch211-264e16.2","maker-ptg000110l-augustus-gene-0.2-mRNA-1"
"22795","chtf8","maker-ptg000511l-augustus-gene-4.1-mRNA-1"
"22800","tango6","maker-ptg000486l-snap-gene-4.116-mRNA-1"
"22801","ppp1r15b","maker-ptg001382l-augustus-gene-5.170-mRNA-1"
"22802","hacd3","maker-ptg000171l-snap-gene-37.39-mRNA-1"
"22803","cftr","maker-ptg000863l-augustus-gene-10.69-mRNA-1"
"22804","chst8","snap_masked-ptg000686l-processed-gene-5.15-mRNA-1"
"22806","rabl2","maker-ptg000979l-snap-gene-8.86-mRNA-1"
"22807","nutf2","maker-ptg000171l-snap-gene-48.88-mRNA-1"
"22808","kctd15b","maker-ptg000052l-augustus-gene-1.28-mRNA-1"
"22809","ints14","maker-ptg000171l-augustus-gene-37.11-mRNA-1"
"22810","kti12","maker-ptg000445l-augustus-gene-14.27-mRNA-1"
"22813","tsnaxip1","maker-ptg001501l-snap-gene-1.6-mRNA-1"
"22814","lsm14ab","maker-ptg000287l-snap-gene-0.17-mRNA-1"
"22815","si_ch211-212o1.2","maker-ptg002403l-snap-gene-1.8-mRNA-1"
"22816","ss18l2","maker-ptg002626l-augustus-gene-0.7-mRNA-1"
"22818","gpib","maker-ptg000287l-snap-gene-0.22-mRNA-1"
"22819","eif4g2b","maker-ptg000465l-augustus-gene-18.24-mRNA-1"
"22820","wtip","maker-ptg000287l-snap-gene-3.78-mRNA-1"
"22821","rnf141","maker-ptg000171l-snap-gene-4.189-mRNA-1"
"22822","sdr42e1","snap_masked-ptg000287l-processed-gene-3.7-mRNA-1"
"22826","amfra","maker-ptg000950l-snap-gene-5.3-mRNA-1"
"22828","nudt7","maker-ptg000950l-augustus-gene-5.31-mRNA-1"
"22829","psmd7","maker-ptg000950l-augustus-gene-5.35-mRNA-1"
"22831","rpl13","maker-ptg000950l-augustus-gene-2.6-mRNA-1"
"22832","cpne7","maker-ptg000950l-augustus-gene-2.9-mRNA-1"
"22834","zfhx3b","maker-ptg000950l-snap-gene-5.23-mRNA-1"
"22835","crispld2","maker-ptg000950l-snap-gene-7.11-mRNA-1"
"22836","usp10","maker-ptg000950l-snap-gene-7.12-mRNA-1"
"22837","ap1g1","maker-ptg000950l-snap-gene-7.32-mRNA-1"
"22838","ist1","maker-ptg000950l-augustus-gene-7.55-mRNA-1"
"22839","dhodh","maker-ptg000950l-augustus-gene-7.57-mRNA-1"
"22841","cbfa2t3","maker-ptg000950l-augustus-gene-10.19-mRNA-1"
"22842","rnf166","maker-ptg000950l-augustus-gene-10.23-mRNA-1"
"22844","si_dkey-56m19.5","maker-ptg000950l-est_gff_est2genome-gene-11.37-mRNA-1"
"22845","dync1li2","maker-ptg000950l-snap-gene-11.9-mRNA-1"
"22846","cmtm4","maker-ptg000950l-snap-gene-11.3-mRNA-1"
"22847","bean1","maker-ptg000950l-augustus-gene-11.50-mRNA-1"
"22849","cdh11","maker-ptg000950l-augustus-gene-16.3-mRNA-1"
"22861","cox5aa","maker-ptg000686l-augustus-gene-1.12-mRNA-1"
"22862","celf6","maker-ptg000686l-augustus-gene-0.12-mRNA-1"
"22863","rpp25b","snap_masked-ptg001835l-processed-gene-0.18-mRNA-1"
"22865","fam219b","maker-ptg001835l-augustus-gene-0.5-mRNA-1"
"22867","parp6b","maker-ptg000432l-snap-gene-1.9-mRNA-1"
"22868","parp6b","maker-ptg000432l-snap-gene-1.9-mRNA-1"
"22870","pkma","snap_masked-ptg001968l-processed-gene-0.44-mRNA-1"
"22871","dhdh.2","maker-ptg001968l-snap-gene-0.31-mRNA-1"
"22874","hcn4","maker-ptg000432l-snap-gene-1.21-mRNA-1"
"22880","slitrk3a","maker-ptg001482l-snap-gene-0.8-mRNA-1"
"22881","si","maker-ptg001482l-augustus-gene-0.31-mRNA-1"
"22882","LOC110438077","maker-ptg000734l-augustus-gene-6.33-mRNA-1"
"22883","pygo1","snap_masked-ptg000734l-processed-gene-6.97-mRNA-1"
"22884","dnaaf4","maker-ptg000734l-snap-gene-6.133-mRNA-1"
"22886","ccpg1","maker-ptg000734l-augustus-gene-6.52-mRNA-1"
"22887","pigb","maker-ptg000734l-snap-gene-6.116-mRNA-1"
"22890","rab27a","maker-ptg000734l-snap-gene-6.122-mRNA-1"
"22891","LOC110437876","maker-ptg000734l-snap-gene-6.107-mRNA-1"
"22892","LOC100537850","maker-ptg002338l-snap-gene-0.120-mRNA-1"
"22896","arhgef17","maker-ptg000448l-snap-gene-2.58-mRNA-1"
"22897","fam168a","maker-ptg000448l-snap-gene-2.43-mRNA-1"
"22899","p2ry6","maker-ptg000448l-augustus-gene-2.36-mRNA-1"
"22901","LOC101885270","maker-ptg002338l-snap-gene-0.118-mRNA-1"
"22903","rps3","maker-ptg002338l-snap-gene-0.107-mRNA-1"
"22904","kctd14","maker-ptg002338l-snap-gene-0.93-mRNA-1"
"22905","ints4","maker-ptg002338l-snap-gene-0.102-mRNA-1"
"22906","aamdc","maker-ptg002338l-snap-gene-0.70-mRNA-1"
"22907","rsf1a","maker-ptg002338l-augustus-gene-0.31-mRNA-1"
"22909","aqp11","maker-ptg002338l-augustus-gene-0.25-mRNA-1"
"22910","pak1","maker-ptg000875l-snap-gene-5.352-mRNA-1"
"22911","gdpd4a","maker-ptg000644l-snap-gene-0.4-mRNA-1"
"22912","myo7aa","snap_masked-ptg000644l-processed-gene-1.36-mRNA-1"
"22913","capn5a","maker-ptg000644l-snap-gene-1.106-mRNA-1"
"22914","ompa","snap_masked-ptg000644l-processed-gene-0.18-mRNA-1"
"22915","LOC100538302","maker-ptg000644l-augustus-gene-0.2-mRNA-1"
"22917","eif2a","maker-ptg000303l-snap-gene-6.228-mRNA-1"
"22919","lrch3","maker-ptg000303l-snap-gene-6.316-mRNA-1"
"22922","pdcd10a","maker-ptg001230l-snap-gene-0.47-mRNA-1"
"22924","slc24a5","maker-ptg000610l-snap-gene-8.47-mRNA-1"
"22926","ctxn2","snap_masked-ptg000610l-processed-gene-8.92-mRNA-1"
"22927","slc12a2l","maker-ptg000610l-snap-gene-8.45-mRNA-1"
"22928","slc12a1","maker-ptg000610l-snap-gene-8.46-mRNA-1"
"22931","fbn2b","maker-ptg000610l-snap-gene-8.18-mRNA-1"
"22935","cops2","maker-ptg000610l-snap-gene-7.0-mRNA-1"
"22939","dtwd1","maker-ptg000610l-snap-gene-6.51-mRNA-1"
"22943","atp8b4","maker-ptg000610l-augustus-gene-6.11-mRNA-1"
"22945","bloc1s6","maker-ptg001120l-augustus-gene-1.8-mRNA-1"
"22947","zgc_153317","maker-ptg001120l-augustus-gene-1.3-mRNA-1"
"22948","afg2b","maker-ptg000610l-augustus-gene-5.89-mRNA-1"
"22949","nnt2","maker-ptg000610l-snap-gene-6.39-mRNA-1"
"22950","cyp1a","maker-ptg000325l-augustus-gene-2.87-mRNA-1"
"22951","ulk3","maker-ptg000325l-augustus-gene-1.10-mRNA-1"
"22955","cplx3b","maker-ptg000325l-augustus-gene-2.75-mRNA-1"
"22958","si_ch73-167i17.6","snap_masked-ptg001202l-processed-gene-0.22-mRNA-1"
"22959","zdhhc7","maker-ptg001202l-snap-gene-1.96-mRNA-1"
"22960","nip7","maker-ptg001202l-snap-gene-0.11-mRNA-1"
"22961","cog8","maker-ptg001202l-augustus-gene-1.186-mRNA-1"
"22962","nob1","maker-ptg001202l-augustus-gene-0.1-mRNA-1"
"22963","wdr59","maker-ptg001125l-snap-gene-0.7-mRNA-1"
"22966","gcsha","maker-ptg000782l-snap-gene-4.28-mRNA-1"
"22968","otogl","maker-ptg000364l-augustus-gene-2.8-mRNA-1"
"22969","ptprq","snap_masked-ptg000364l-processed-gene-3.74-mRNA-1"
"22976","ppfia4","snap_masked-ptg000364l-processed-gene-5.90-mRNA-1"
"22977","tmtc2b","maker-ptg000364l-augustus-gene-6.9-mRNA-1"
"22979","iqsec3a","maker-ptg000364l-snap-gene-8.0-mRNA-1"
"22981","ddx11","maker-ptg000364l-snap-gene-9.11-mRNA-1"
"22983","fkbp4","maker-ptg000364l-augustus-gene-9.20-mRNA-1"
"22984","b4galnt3a","maker-ptg000364l-snap-gene-10.57-mRNA-1"
"22986","tlr1","snap_masked-ptg000364l-processed-gene-10.27-mRNA-1"
"22988","tnni1c","maker-ptg000364l-augustus-gene-10.24-mRNA-1"
"22989","c2cd5","maker-ptg000364l-snap-gene-10.83-mRNA-1"
"22990","st8sia1","maker-ptg000364l-snap-gene-11.12-mRNA-1"
"22992","lmf2a","maker-ptg000364l-augustus-gene-11.32-mRNA-1"
"22994","miox","maker-ptg000284l-augustus-gene-2.28-mRNA-1"
"22996","LOC799520","maker-ptg000979l-augustus-gene-12.6-mRNA-1"
"22999","LOC101882393","maker-ptg000968l-snap-gene-6.10-mRNA-1"
"23000","kcp","maker-ptg000501l-snap-gene-4.138-mRNA-1"
"23005","utp15","maker-ptg000102l-augustus-gene-47.79-mRNA-1"
"23007","cfap161","maker-ptg000683l-augustus-gene-2.64-mRNA-1"
"23008","si_dkey-30c15.2","maker-ptg000979l-augustus-gene-8.45-mRNA-1"
"23011","cd9a","maker-ptg000882l-augustus-gene-0.17-mRNA-1"
"23012","vwf","maker-ptg000882l-augustus-gene-1.9-mRNA-1"
"23015","ppp6r2a","maker-ptg000284l-snap-gene-1.31-mRNA-1"
"23018","si_dkey-30c15.17","maker-ptg000077l-augustus-gene-4.16-mRNA-1"
"23019","bbs10","maker-ptg001310l-augustus-gene-11.30-mRNA-1"
"23021","dennd6b","maker-ptg000284l-snap-gene-2.158-mRNA-1"
"23026","pdp2","snap_masked-ptg000688l-processed-gene-4.137-mRNA-1"
"23030","zgc_77752","maker-ptg000284l-augustus-gene-2.41-mRNA-1"
"23031","cimap1b","maker-ptg000979l-augustus-gene-8.53-mRNA-1"
"23032","tymp","maker-ptg000284l-augustus-gene-1.0-mRNA-1"
"23035","rabl2","maker-ptg000979l-snap-gene-8.86-mRNA-1"
"23039","prpf18","maker-ptg001158l-snap-gene-0.14-mRNA-1"
"23040","arsa","maker-ptg000979l-augustus-gene-5.30-mRNA-1"
"23046","chkb","maker-ptg000979l-snap-gene-5.43-mRNA-1"
"23047","LOC101886608","maker-ptg000979l-snap-gene-4.40-mRNA-1"
"23050","sephs1","maker-ptg000979l-augustus-gene-4.63-mRNA-1"
"23052","bend7","maker-ptg000979l-augustus-gene-4.61-mRNA-1"
"23057","impdh1a","maker-ptg000501l-snap-gene-5.44-mRNA-1"
"23060","si_dkey-5i3.5","maker-ptg000501l-augustus-gene-5.68-mRNA-1"
"23061","fam107b","maker-ptg000979l-augustus-gene-3.0-mRNA-1"
"23063","cdnf","maker-ptg000979l-augustus-gene-2.6-mRNA-1"
"23065","hspa14","maker-ptg000979l-snap-gene-3.70-mRNA-1"
"23067","dclre1c","maker-ptg000979l-snap-gene-2.27-mRNA-1"
"23069","meig1","maker-ptg000979l-augustus-gene-3.10-mRNA-1"
"23071","elapor2b","maker-ptg000979l-snap-gene-3.56-mRNA-1"
"23075","sema3d","maker-ptg000979l-snap-gene-3.53-mRNA-1"
"23076","cacna2d1a","maker-ptg000967l-snap-gene-4.140-mRNA-1"
"23077","sema3e","maker-ptg000994l-snap-gene-2.29-mRNA-1"
"23082","LOC101882457","maker-ptg000994l-snap-gene-2.19-mRNA-1"
"23086","rbm28","maker-ptg000968l-snap-gene-4.7-mRNA-1"
"23087","gtf3c6","maker-ptg000968l-augustus-gene-3.16-mRNA-1"
"23090","dbx2","maker-ptg000968l-snap-gene-6.46-mRNA-1"
"23093","si_dkey-202b22.6","maker-ptg002114l-snap-gene-2.70-mRNA-1"
"23096","kics2","maker-ptg000887l-augustus-gene-3.112-mRNA-1"
"23098","parp12b","maker-ptg000887l-augustus-gene-3.154-mRNA-1"
"23100","svopl","maker-ptg000887l-snap-gene-3.75-mRNA-1"
"23103","tspan33b","maker-ptg000084l-snap-gene-47.18-mRNA-1"
"23108","cracr2aa","snap_masked-ptg000084l-processed-gene-43.23-mRNA-1"
"23109","ccdc59","maker-ptg000841l-snap-gene-10.22-mRNA-1"
"23110","tmtc2b","maker-ptg000364l-augustus-gene-6.9-mRNA-1"
"23111","mettl25","maker-ptg000841l-snap-gene-9.10-mRNA-1"
"23114","LOC100538098","snap_masked-ptg000841l-processed-gene-7.11-mRNA-1"
"23117","fgd4a","snap_masked-ptg000489l-processed-gene-1.228-mRNA-1"
"23118","nup205","maker-ptg000841l-snap-gene-6.73-mRNA-1"
"23119","fam107b","maker-ptg000979l-augustus-gene-3.0-mRNA-1"
"23122","tbxas1","maker-ptg000084l-augustus-gene-51.0-mRNA-1"
"23123","parp12a","maker-ptg000084l-snap-gene-52.3-mRNA-1"
"23126","rxylt1","maker-ptg000084l-augustus-gene-56.12-mRNA-1"
"23127","nr1h4","maker-ptg000084l-snap-gene-60.8-mRNA-1"
"23128","tubgcp6","maker-ptg000084l-snap-gene-61.19-mRNA-1"
"23129","gan","maker-ptg001350l-augustus-gene-1.92-mRNA-1"
"23130","fgfr1op2","maker-ptg000084l-snap-gene-61.25-mRNA-1"
"23132","zgc_112052","maker-ptg000884l-augustus-gene-6.74-mRNA-1"
"23133","prkcq","maker-ptg000084l-snap-gene-63.0-mRNA-1"
"23134","LOC100150699","maker-ptg000511l-snap-gene-5.177-mRNA-1"
"23135","tat","maker-ptg001350l-augustus-gene-0.6-mRNA-1"
"23136","zgc_56622","maker-ptg001350l-snap-gene-0.3-mRNA-1"
"23138","klhl36","maker-ptg001350l-augustus-gene-1.81-mRNA-1"
"23139","cotl1","maker-ptg000511l-snap-gene-4.128-mRNA-1"
"23141","meak7","maker-ptg001350l-augustus-gene-1.60-mRNA-1"
"23144","plcg2","snap_masked-ptg001350l-processed-gene-1.39-mRNA-1"
"23145","usp6nl","maker-ptg000015l-snap-gene-8.19-mRNA-1"
"23146","proser2","maker-ptg000015l-augustus-gene-7.2-mRNA-1"
"23148","cmip","maker-ptg001350l-snap-gene-1.142-mRNA-1"
"23149","cdh13","maker-ptg000486l-augustus-gene-1.6-mRNA-1"
"23150","mlycd","maker-ptg000486l-augustus-gene-4.129-mRNA-1"
"23151","igl4v8","maker-ptg000015l-snap-gene-4.41-mRNA-1"
"23153","kras","maker-ptg001309l-snap-gene-19.1-mRNA-1"
"23155","rassf8b","maker-ptg002020l-snap-gene-0.26-mRNA-1"
"23156","zgc_173742","maker-ptg000486l-augustus-gene-2.70-mRNA-1"
"23157","bhlhe41","maker-ptg002020l-augustus-gene-0.7-mRNA-1"
"23158","sspn","maker-ptg002020l-snap-gene-0.20-mRNA-1"
"23162","itpr2","maker-ptg000225l-augustus-gene-7.53-mRNA-1"
"23163","ints13","maker-ptg000225l-snap-gene-7.16-mRNA-1"
"23164","si_dkey-246g23.2","maker-ptg000486l-snap-gene-3.12-mRNA-1"
"23165","LOC100536252","snap_masked-ptg000225l-processed-gene-7.96-mRNA-1"
"23166","phf21b","maker-ptg000225l-snap-gene-7.5-mRNA-1"
"23168","nup50","maker-ptg000225l-augustus-gene-5.14-mRNA-1"
"23169","kcng4a","snap_masked-ptg000486l-processed-gene-3.4-mRNA-1"
"23170","kiaa0930","maker-ptg000225l-augustus-gene-7.42-mRNA-1"
"23174","wfdc1","maker-ptg000486l-snap-gene-3.21-mRNA-1"
"23177","borcs5","maker-ptg000225l-snap-gene-4.120-mRNA-1"
"23180","si_dkey-238o13.4","maker-ptg001350l-snap-gene-1.128-mRNA-1"
"23181","spata2l","maker-ptg000511l-augustus-gene-5.28-mRNA-1"
"23182","pdf","maker-ptg001350l-augustus-gene-1.79-mRNA-1"
"23184","uri1","maker-ptg000884l-snap-gene-6.99-mRNA-1"
"23186","lrig3","maker-ptg000461l-snap-gene-4.305-mRNA-1"
"23188","mtss1la","maker-ptg001182l-snap-gene-5.74-mRNA-1"
"23190","mapk12a","maker-ptg000461l-snap-gene-1.3-mRNA-1"
"23191","mapk11","maker-ptg000461l-augustus-gene-0.20-mRNA-1"
"23193","selenoo1","maker-ptg000461l-augustus-gene-0.13-mRNA-1"
"23194","trabd","maker-ptg000461l-augustus-gene-0.7-mRNA-1"
"23196","panx2","maker-ptg000015l-snap-gene-4.43-mRNA-1"
"23197","mlc1","maker-ptg000084l-augustus-gene-6.40-mRNA-1"
"23201","btbd11b","maker-ptg000084l-snap-gene-7.3-mRNA-1"
"23203","cry1b","maker-ptg000006l-augustus-gene-2.6-mRNA-1"
"23204","zgc_153031","maker-ptg000006l-snap-gene-2.35-mRNA-1"
"23207","si_ch73-62b13.1","maker-ptg000006l-augustus-gene-3.66-mRNA-1"
"23208","tnnt2c","snap_masked-ptg000006l-processed-gene-8.23-mRNA-1"
"23209","tmem263","snap_masked-ptg000006l-processed-gene-5.1-mRNA-1"
"23210","si_dkey-103i16.6","maker-ptg000006l-snap-gene-8.64-mRNA-1"
"23212","ric8b","maker-ptg000006l-snap-gene-5.11-mRNA-1"
"23213","rfx4","maker-ptg000006l-snap-gene-5.27-mRNA-1"
"23214","si_dkey-222f8.3","maker-ptg000006l-snap-gene-6.20-mRNA-1"
"23215","polr3b","maker-ptg000979l-augustus-gene-9.18-mRNA-1"
"23217","cyb5r3","maker-ptg000006l-augustus-gene-8.7-mRNA-1"
"23218","si_dkey-222f8.3","maker-ptg000979l-augustus-gene-9.30-mRNA-1"
"23220","ppfibp1b","maker-ptg000006l-augustus-gene-6.9-mRNA-1"
"23221","syt10","maker-ptg000979l-snap-gene-12.157-mRNA-1"
"23224","LOC103909294","maker-ptg000006l-snap-gene-6.31-mRNA-1"
"23228","si_ch211-245j22.3","maker-ptg000006l-snap-gene-6.33-mRNA-1"
"23230","bmal2","maker-ptg000979l-snap-gene-10.2-mRNA-1"
"23231","stk38l","maker-ptg000979l-snap-gene-10.18-mRNA-1"
"23232","med21","maker-ptg000979l-snap-gene-10.24-mRNA-1"
"23233","tm7sf3","maker-ptg000979l-augustus-gene-12.20-mRNA-1"
"23235","slc17a8","maker-ptg000979l-snap-gene-12.168-mRNA-1"
"23236","gas2l3","maker-ptg000979l-snap-gene-12.170-mRNA-1"
"23238","nr1h4","maker-ptg000084l-snap-gene-60.8-mRNA-1"
"23241","ano6","maker-ptg000979l-snap-gene-12.179-mRNA-1"
"23243","pwp1","maker-ptg000979l-snap-gene-12.188-mRNA-1"
"23245","mrpl42","maker-ptg000979l-augustus-gene-12.39-mRNA-1"
"23247","ube2na","maker-ptg000979l-snap-gene-12.195-mRNA-1"
"23249","eea1","maker-ptg000979l-snap-gene-12.208-mRNA-1"
"23251","plekhg7","maker-ptg000979l-augustus-gene-11.0-mRNA-1"
"23253","itpr2","maker-ptg000225l-augustus-gene-7.53-mRNA-1"
"23255","sspn","maker-ptg002020l-snap-gene-0.20-mRNA-1"
"23257","ctsd","maker-ptg000223l-augustus-gene-3.65-mRNA-1"
"23258","rassf9","maker-ptg000863l-augustus-gene-6.18-mRNA-1"
"23261","eif4g2b","maker-ptg000465l-augustus-gene-18.24-mRNA-1"
"23262","LOC100001178","maker-ptg000571l-augustus-gene-1.24-mRNA-1"
"23264","rnf141","maker-ptg000171l-snap-gene-4.189-mRNA-1"
"23266","ampd3b","maker-ptg000571l-snap-gene-1.94-mRNA-1"
"23268","swap70b","maker-ptg000643l-snap-gene-11.112-mRNA-1"
"23269","wee1","maker-ptg000171l-snap-gene-4.146-mRNA-1"
"23270","znf143b","maker-ptg000171l-est_gff_est2genome-gene-4.33-mRNA-1"
"23273","akip1","maker-ptg000171l-snap-gene-1.6-mRNA-1"
"23275","LOC137488362","maker-ptg000754l-est_gff_est2genome-gene-3.169-mRNA-1"
"23276","si_ch211-218c6.8","maker-ptg000882l-snap-gene-1.99-mRNA-1"
"23277","tph2","maker-ptg000077l-augustus-gene-10.71-mRNA-1"
"23278","tbc1d15","maker-ptg001006l-snap-gene-3.42-mRNA-1"
"23279","chtf8","maker-ptg000511l-augustus-gene-4.1-mRNA-1"
"23281","tango6","maker-ptg000486l-snap-gene-4.116-mRNA-1"
"23283","zc3h18","maker-ptg000486l-snap-gene-4.125-mRNA-1"
"23284","trhr2","maker-ptg000486l-snap-gene-4.70-mRNA-1"
